Question,Answer,Confidence,Valid
"Will AstraZeneca's Phase 3 TROPION-Lung01 trial for datopotamab deruxtecan meet its primary endpoint of overall survival in non-small cell lung cancer by December 31, 2024?",0,1.0,True
"Will Eli Lilly's Phase 3 TRAILBLAZER-ALZ 2 trial for donanemab receive a final FDA approval decision for the treatment of early symptomatic Alzheimer's disease by December 31, 2024?",1,1.0,True
"Will the FDA approve Idorsia's aprocitentan for the treatment of resistant hypertension by March 31, 2024?",1,1.0,True
"Will Johnson & Johnson's Phase 3 MARIPOSA trial of amivantamab and lazertinib demonstrate a statistically significant improvement in overall survival (OS) compared to osimertinib by December 31, 2025?",1,1.0,True
"Will the FDA approve Alnylam Pharmaceuticals' vutrisiran (Amvuttra) for the treatment of ATTR amyloidosis with cardiomyopathy by March 31, 2025?",1,1.0,True
"Will the FDA approve Novartis' Cosentyx (secukinumab) for the treatment of hidradenitis suppurativa by December 31, 2023?",1,1.0,True
"Will Novartis submit a regulatory application for remibrutinib to treating chronic spontaneous urticaria (CSU) by December 31, 2024?",1,0.9,True
"Will the European Commission approve Sanofi and Regeneron's Dupixent (dupilumab) for the treatment of adults and adolescents with eosinophilic esophagitis by June 30, 2023?",1,1.0,True
"Will Eli Lilly's donanemab Phase III trial (TRAILBLAZER-ALZ 2) meet its primary endpoint of change in the iADRS scale by June 30, 2023?",1,1.0,True
"Will Ocular Therapeutix's experimental eye drug AXPAXLI meet its primary endpoint in the late-stage trial for wet AMD by December 31, 2025?",1,1.0,True
"Will Adicet Bio launch a pivotal Phase 2 clinical trial for ADI-001 by June 30, 2023?",0,0.9,True
"Will Boston Scientific's mCRM (modular cardiac rhythm management) system receive FDA approval for clinical use by December 31, 2024?",0,0.9,True
"Will Viatris and Kindeva Drug Delivery launch their generic version of Symbicort (Breyna) in the United States by December 31, 2022?",0,1.0,True
"Will Aelis Farma announce results from its Phase 1/2 clinical trial of AEF0217 in patients with Down syndrome by December 31, 2023?",0,1.0,True
"Will Day One Biopharmaceuticals submit a New Drug Application (NDA) to the FDA for tovorafenib by June 30, 2023?",1,1.0,True
"Will the FDA expand the approved indication of Sarepta Therapeutics' Elevidys to include Duchenne muscular dystrophy patients of all ages by January 1, 2025?",0,1.0,True
"Will Novo Nordisk receive FDA approval for a new indication for Wegovy (semaglutide) based on clinical trial results by December 31, 2024?",1,1.0,True
"Will the FDA approve Takeda and Otsuka's centanafadine for the treatment of ADHD by June 30, 2025?",0,1.0,True
"Will Sandoz's Hyrimoz (adalimumab-adaz) biosimilar achieve a cumulative US market share of at least 10% in the adalimumab market by December 31, 2024?",1,1.0,True
"Will Kairos Pharma complete its Phase 1 clinical trial of KROS-201 for the treatment of glioblastoma by December 31, 2025?",0,1.0,True
"Will BioMarin Pharmaceuticals' gene therapy Roctavian (valoctocogene roxaparvovec) receive FDA approval for the treatment of hemophilia A by December 31, 2023?",1,1.0,True
"Will the U.S. Supreme Court issue a ruling that maintains the FDA's 2016 and 2021 expanded access changes for mifepristone by July 1, 2024?",1,1.0,True
"Will BioMarin's gene therapy Roctavian receive expanded FDA label approval for a pediatric population by December 31, 2025?",0,1.0,True
"Will Roche's GLP-1 agonist CT-388 meet its primary endpoints in the Phase 2 clinical trial for obesity by December 31, 2024?",0,1.0,True
"Will the FDA issue a final administrative order to remove oral phenylephrine from the list of generally recognized as safe and effective (GRASE) OTC active ingredients by December 31, 2025?",0,1.0,True
"Will the FDA approve Vertex Pharmaceuticals' vanzacaftor triple combination regimen (vanza triple) for the treatment of cystic fibrosis by March 31, 2025?",1,1.0,True
"Will the FDA grant approval for Autolus Therapeutics' obecabtagene autoleucel (obex-cel) for the treatment of adult patients with relapsed or refractory B-cell precursor acute lymphoblastic leukemia by December 31, 2024?",1,1.0,True
"Will the Phase 2 trial on LINAC-Based Stereotactic Arrhythmia Radioablation for Paroxysmal Atrial Fibrillation (led by Fabiana Gregucci et al.) publish its final primary endpoint results by December 31, 2026?",1,1.0,True
"Will Thermedical's pivotal clinical trial of the SERF thermal ablation system with the Durablate Catheter for ventricular tachycardia reach its primary completion date by December 31, 2025?",0,1.0,True
"Will Eli Lilly's lebrikizumab receive FDA approval for the treatment of moderate-to-severe atopic dermatitis by December 31, 2024?",1,1.0,True
"Will Viking Therapeutics' Phase 3 trial for VK2735 meet its primary endpoint of significant weight loss relative to placebo by December 31, 2025?",0,1.0,True
"Will the Phase 3 LITESPARK-005 trial evaluating Welireg (belzutifan) against everolimus in advanced clear-cell renal cell carcinoma demonstrate a statistically significant improvement in overall survival (OS) by December 31, 2024?",0,1.0,True
"Will the 5th U.S. Circuit Court of Appeals uphold the FDA's removal of the in-person dispensing requirement for mifepristone following its hearing on May 17, 2023?",0,1.0,True
"Will the FDA approve Novo Nordisk's once-weekly insulin icodec for the treatment of diabetes by December 31, 2024?",0,1.0,True
"Will the FDA approve Merck's Keytruda (pembrolizumab) in combination with pemetrexed and platinum chemotherapy for the first-line treatment of unresectable advanced pleural mesothelioma by December 31, 2024?",1,1.0,True
"Will Sanofi's Tzield (teplizumab-mzwv) receive FDA approval for the treatment of newly diagnosed Stage 3 Type 1 Diabetes in children and adolescents by July 31, 2024?",0,1.0,True
"Will AstraZeneca's datopotamab deruxtecan (Dato-DXd) receive FDA approval for the treatment of advanced or metastatic non-small cell lung cancer by December 31, 2024?",0,1.0,True
"Will Ironwood Pharmaceuticals submit a New Drug Application (NDA) to the FDA for apraglutide by December 31, 2024?",0,1.0,True
"Will AstraZeneca's Phase 3 trial (TROPION-Lung01) for datopotamab deruxtecan demonstrate statistically significant improvement in overall survival for patients with non-small cell lung cancer by December 31, 2024?",0,1.0,True
"Will Summit Therapeutics receive FDA approval for ivonescimab as a first-line treatment for PD-L1-positive non-small cell lung cancer by December 31, 2025?",0,1.0,True
"Will the FDA approve bluebird bio's gene therapy elivaldogene autotemcel (eli-cel) for cerebral adrenoleukodystrophy by September 30, 2022?",1,1.0,True
"Will Merck & Co.'s Phase 3 KEYNOTE-A18 trial for locally advanced cervical cancer receive FDA approval for its supplemental Biologics License Application (sBLA) by December 31, 2024?",1,1.0,True
"Will Idorsia's insomnia drug daridorexant receive market approval from the European Medicines Agency (EMA) by June 30, 2022?",1,1.0,True
"Will Otsuka and Click Therapeutics' Rejoyn app be available for download on the iOS and Android app stores by December 31, 2024?",1,1.0,True
"Will the FDA approve Cellectar Biosciences' Iopofosine I 131 for the treatment of relapsed/refractory Waldenstrom's macroglobulinemia by December 31, 2025?",0,1.0,True
"Will Mirum Pharmaceuticals report that the Phase 3 trial of Chenodal for cerebrotendinous xanthomatosis met its primary endpoints by December 31, 2024?",1,1.0,True
"Will the European Medicines Agency (EMA) grant marketing authorization for elacestrant (ORSERDU) for the treatment of patients with ESR1-mutated ER+/HER2- metastatic breast cancer by December 31, 2023?",1,1.0,True
"Will Acelyrin's Phase 2b/3 trial of izokibep for psoriatic arthritis meet its primary endpoints by March 31, 2024?",1,1.0,True
"Will Eli Lilly receive FDA approval for an expanded indication of Emgality (galcanezumab) to treat pediatric migraine by December 31, 2024?",0,1.0,True
"Will Karuna Therapeutics report top-line data from the EMERGENT-2 Phase 3 trial of KarXT by August 31, 2022?",1,1.0,True
"Will Abivax begin patient enrollment in its Phase 3 clinical program of ABX464 for moderate-to-severe ulcerative colitis by June 30, 2022?",0,1.0,True
"Will the FDA grant final approval to Karuna Therapeutics' KarXT (xanomeline-trospium) for the treatment of schizophrenia by September 26, 2024?",1,1.0,True
"Will Rejuvenate Biomed initiate a Phase 2 clinical trial for its lead candidate RJx-01 to evaluate its effect on sarcopenia by December 31, 2024?",0,1.0,True
"Will PDS Biotechnology initiate the Phase 3 VERSATILE-003 trial for PDS0101 in recurrent or metastatic HPV16-positive head and neck squamous cell carcinoma by December 31, 2024?",0,1.0,True
"Will AbbVie's Rinvoq (upadacitinib) receive FDA approval for the treatment of alopecia areata by December 31, 2025?",0,0.9,True
"Will Fosun Pharma present updated clinical data for LegoChem Biosciences' LCB14 (FS-1502) at the San Antonio Breast Cancer Symposium by December 31, 2022?",1,0.9,True
"Will the FDA approve Mallinckrodt's terlipressin for the treatment of hepatorenal syndrome (HRS) by December 31, 2022?",1,1.0,True
"Will AstraZeneca and Daiichi Sankyo's datopotamab deruxtecan (Dato-DXd) receive FDA approval for the treatment of adult patients with unresectable or metastatic nonsquamous non-small cell lung cancer by December 31, 2024?",0,0.9,True
"Will the FDA approve Bristol Myers Squibb's supplemental New Drug Application (sNDA) for KRAZATI (adagrasib) in combination with cetuximab for KRAS G12C-mutated colorectal cancer by December 31, 2024?",1,1.0,True
"Will the European Commission grant marketing authorization for Takeda’s HYQVIA as a maintenance therapy for adults with chronic inflammatory demyelinating polyneuropathy (CIDP) by December 31, 2024?",1,1.0,True
"Will the FDA approve Eli Lilly's Alzheimer's drug donanemab by December 31, 2024?",1,1.0,True
"Will AstraZeneca's durvalumab (Imfinzi) maintain its status as the recommended standard of care for unresectable stage III NSCLC in updated NCCN clinical practice guidelines through December 31, 2025?",1,0.9,True
"Will the FDA approve GSK's gepotidacin for the treatment of uncomplicated urogenital gonorrhoea by June 30, 2025?",0,1.0,True
"Will the FDA approve Regeneron and Sanofi's Dupixent (dupilumab) as a treatment for eosinophilic esophagitis by May 31, 2022?",1,1.0,True
"Will the FDA expand the approval of Gilead Sciences' remdesivir (Veklury) to include treatment for children under 12 years of age by April 30, 2022?",1,1.0,True
"Will Transgene complete enrollment for its Phase 2 study of TG4050 for head and neck cancer by December 31, 2027?",1,1.0,True
"Will Idorsia Pharmaceuticals' aprocitentan receive marketing authorization from the European Medicines Agency (EMA) by December 31, 2024?",1,1.0,True
"Will the FDA approve batoclimab for the treatment of generalized myasthenia gravis (gMG) by December 31, 2025?",0,1.0,True
"Will WW International, Inc. announce results from a new clinical trial evaluating its diabetes-tailored program in a peer-reviewed medical journal by December 31, 2024?",1,0.9,True
"Will the U.S. Supreme Court issue a ruling that restricts the current FDA-approved mail-order availability of Danco Laboratories' mifepristone by July 31, 2024?",0,1.0,True
"Will Novo Nordisk's CagriSema Phase 3 REDEFINE 1 trial meet its primary endpoints for weight loss by December 31, 2024?",1,1.0,True
"Will Gilead Sciences' PURPOSE 2 Phase 3 clinical trial of lenacapavir for HIV prevention meet its primary endpoint by June 30, 2025?",1,1.0,True
"Will Alnylam Pharmaceuticals' HELIOS-B Phase 3 trial of vutrisiran meet its primary composite endpoint for the treatment of ATTR amyloidosis with cardiomyopathy by December 31, 2024?",1,1.0,True
"Will the FDA approve Bayer's elinzanetant for the treatment of moderate to severe hot flashes associated with menopause by December 31, 2025?",0,1.0,True
"Will Alumis launch a Phase 3 clinical trial for ESK-001 in plaque psoriasis by December 31, 2024?",1,1.0,True
"Will Biogen's Phase 3 ATLAS trial of QALSODY (tofersen) in presymptomatic SOD1-ALS achieve its primary completion by December 31, 2026?",0,0.9,True
"Will the Personalized Parkinson Project (NCT033648) complete its 3-year longitudinal follow-up period for all 520 participants by December 31, 2025?",0,0.9,True
"Will Roche's Phase 3 SKYSCRAPER-01 trial of tiragolumab plus atezolizumab meet its primary endpoint of overall survival by December 31, 2024?",0,1.0,True
"Will the FDA approve Pfizer's Abrysvo vaccine for use in pregnant individuals to protect infants from RSV by September 30, 2023?",1,1.0,True
"Will Cidara Therapeutics announce that their CD388 Phase 2a trial for the prevention of influenza A reached its primary efficacy endpoint by June 30, 2025?",1,1.0,True
"Will Eli Lilly's triple agonist (retatrutide) successfully meet its primary endpoint for weight loss in its Phase 3 trial by December 31, 2025?",1,1.0,True
"Will the U.S. Supreme Court issue a ruling in FDA v. Alliance for Hippocratic Medicine that restricts the current distribution rules for the drug mifepristone by June 30, 2024?",0,1.0,True
"Will Radella Pharmaceuticals initiate its Phase Ib clinical trial for MD-18 by December 31, 2024?",1,1.0,True
"Will Amgen's rocatinlimab (AMG 451) Phase 3 trial for moderate-to-severe atopic dermatitis meet its primary endpoint of clinical response by December 31, 2024?",1,1.0,True
"Will the FDA approve Biogen and Sage Therapeutics' zuranolone for the treatment of major depressive disorder by August 5, 2023?",0,1.0,True
"Will Metro International Biotech's MIB-626 clinical trial for Alzheimer's disease (NCT05040321) be completed by December 31, 2024?",0,1.0,True
"Will Arcellx and Kite's Phase 2 iMMagine-1 trial for CART-ddBCM in multiple myeloma meet its primary endpoint by December 31, 2025?",1,1.0,True
"Will SpringWorks Therapeutics submit its New Drug Application (NDA) to the FDA for mirdametinib for the treatment of NF1-PN by June 30, 2024?",1,1.0,True
"Will Florida's Department of Health successfully import its first shipment of prescription drugs from Canada under the FDA-approved program by December 31, 2024?",0,1.0,True
"Will Ionis Pharmaceuticals submit a New Drug Application (NDA) to the FDA for olezarsen for the treatment of familial chylomicronaemia by June 30, 2024?",1,1.0,True
"Will the Phase 3 CLEAR Outcomes trial demonstrate that bempedoic acid significantly reduces the risk of major adverse cardiovascular events (MACE-4) compared to placebo by December 31, 2023?",1,1.0,True
"Will Alentis Therapeutics report data from a Phase 2 clinical trial of ALE.F02 in organ fibrosis by December 31, 2024?",0,1.0,True
"Will Eli Lilly's Zepbound (tirzepatide) receive FDA approval for the treatment of obstructive sleep apnea by December 31, 2025?",1,1.0,True
"Will the FDA approve Ocular Therapeutix's DEXTENZA for the treatment of pediatric ocular inflammation following ophthalmic surgery by December 31, 2024?",1,1.0,True
"Will the Phase 2 trial of dasatinib, blinatumomab, and prednisone for older patients with Ph+ ALL (NCT02143414) report a final 5-year overall survival rate of 75% or higher by December 31, 2026?",0,1.0,True
"Will Autolus Therapeutics submit a Biologics License Application (BLA) to the FDA for obe-cel by December 31, 2023?",1,1.0,True
"Following the registration lapse, will the US FDA officially withdraw the New Drug Application (NDA) for Bufferin (aspirin/antacid) by December 31, 2023?",1,1.0,True
Did the SMARTrial (NCT03488641) meet its primary endpoint of providing drug response profiling reports within 7 days for at least 90% of study participants?,1,1.0,True
"Will Vertex Pharmaceuticals release clinical data from its Phase 1 trial of VX-264 for type 1 diabetes by December 31, 2025?",1,1.0,True
"Will Nanoscope Therapeutics announce topline results from its Phase 2 trial of MCO-010 in Stargardt disease by June 30, 2023?",0,1.0,True
"Will Renibus Therapeutics initiate its Phase 3 registrational study of RBT-1 by March 31, 2023?",0,1.0,True
"Will any of the four FDA-ordered breast implant post-market surveillance studies listed as 'ongoing' on October 1, 2024, reach 'completed' status by December 31, 2025?",0,0.9,True
"Will AbbVie submit a New Drug Application (NDA) for tavapadon to the US Food and Drug Administration by December 31, 2025?",1,1.0,True
"Will Roivant Sciences' subsidiary Immunovant report positive topline Phase 3 data for batoclimab in generalized myasthenia gravis (gMG) by December 31, 2024?",0,1.0,True
"Will Agomab Therapeutics' Phase 2 trial of AGMB-129 for fibrostenosing Crohn's disease meet its primary endpoints by December 31, 2025?",1,1.0,True
"Will the FDA approve Novocure's TTFields therapy for patients with brain metastases from non-small cell lung cancer by December 31, 2025?",0,1.0,True
"Will GenBioPro's generic mifepristone remain FDA-approved for use in the United States through December 31, 2024?",1,1.0,True
"Will Nimbus Therapeutics release results from its Phase 1/2 trial of NDI-101150 in patients with solid tumors by December 31, 2024?",1,1.0,True
"Will the FDA approve Aldeyra Therapeutics' reproxalap for the treatment of dry eye disease by November 30, 2023?",0,1.0,True
"Will the FDA approve Mapi Pharma and Viatris's GA Depot (glatiramer acetate 40 mg) for the treatment of relapsing forms of multiple sclerosis by December 31, 2025?",0,1.0,True
"Will the FDA approve Checkpoint Therapeutics' cosibelimab for the treatment of advanced cutaneous squamous cell carcinoma by December 31, 2024?",1,1.0,True
"Will Eli Lilly's Alzheimer's drug donanemab receive marketing authorization from the European Medicines Agency (EMA) by June 30, 2025?",0,1.0,True
"Will Rocket Pharmaceuticals announce that its Phase 2 pivotal trial of RP-A501 for Danon disease met its co-primary endpoints by December 31, 2025?",0,0.9,True
"Will Beam Therapeutics report top-line data from the Phase I/II trial of BEAM-201 in patients with T-cell acute lymphoblastic leukemia by December 31, 2025?",0,1.0,True
"Will Moderna's Phase 3 clinical trial for its mRNA-1010 seasonal influenza vaccine meet its primary efficacy endpoints by December 31, 2024?",0,0.9,True
"Will the FDA approve Biogen and Sage Therapeutics' zuranolone for the treatment of postpartum depression by December 31, 2023?",1,1.0,True
"Will Incannex Healthcare Inc announce primary endpoint results for its Phase 2 portion of the IHL-42X RePOSA trial for obstructive sleep apnea by December 31, 2025?",1,1.0,True
"Will Novo Nordisk's Phase 3 RETHINK trial for 14 mg oral semaglutide in early Alzheimer's disease meet its primary endpoints by September 30, 2025?",0,1.0,True
"Will results from a clinical study regarding the safety of Sage Therapeutics' zuranolone (Zurzuvae) in breastfeeding women be published in a peer-reviewed journal by June 30, 2025?",1,1.0,True
"Will Ocular Therapeutix submit a Biologics License Application (BLA) to the FDA for its wet AMD hydrogel insert by December 31, 2025?",0,1.0,True
"Will Teva Pharmaceuticals or its partners announce the initiation of a Phase 3 clinical trial of laquinimod for Huntington's disease by December 31, 2025?",0,1.0,True
"Will Moderna's mRNA-1010 seasonal influenza vaccine receive FDA approval by December 31, 2026?",0,1.0,True
"Will Janssen (Johnson & Johnson) initiate a Phase 3 clinical trial for JNJ-2113 for the treatment of moderate-to-severe plaque psoriasis by June 30, 2024?",1,1.0,True
"Will Medicago's COVIFENZ COVID-19 vaccine receive FDA approval by December 31, 2023?",0,1.0,True
"Will AstraZeneca and Ionis Pharmaceuticals receive FDA approval for eplontersen for the treatment of ATTRv-polyneuropathy by December 31, 2024?",1,1.0,True
"Will the FDA approve Johnson & Johnson's guselkumab (Tremfya) for the treatment of adult patients with moderately to severely active Crohn's disease by December 31, 2025?",1,1.0,True
"Will Zoetis Inc. receive FDA approval for a new generic doramectin formulation for use in livestock by December 31, 2025?",1,0.9,True
"Will Bristol Myers Squibb (Karuna Therapeutics) receive FDA approval for KarXT (xanomeline-trospium) for the treatment of schizophrenia by September 30, 2024?",1,1.0,True
"Will the FDA withdraw its approval of the medical abortion drug mifepristone by December 31, 2025?",0,1.0,True
"Will AstraZeneca and Daiichi Sankyo's datopotamab deruxtecan (Dato-DXd) receive FDA approval for the treatment of advanced non-small-cell lung cancer by December 31, 2024?",0,1.0,True
"Will the FDA approve Alvotech and Teva's BLA for AVT02 (adalimumab biosimilar) as a high-concentration interchangeable product by December 31, 2024?",1,1.0,True
"Will Novo Nordisk's Phase 3 trial for CagriSema in obesity (REDEFINE-1) meet its primary endpoint for weight loss by December 31, 2024?",1,1.0,True
"Will Shandong Cancer Hospital and Institute initiate a Phase 3 clinical trial for Epigallocatechin-3-Gallate (EGCG) solution in the prevention of radiation-induced dermatitis by December 31, 2025?",0,1.0,True
"Will the FDA approve Alnylam Pharmaceuticals' supplemental New Drug Application (sNDA) for vutrisiran for the treatment of ATTR amyloidosis with cardiomyopathy (ATTR-CM) by June 30, 2025?",1,1.0,True
"Will Legacy Healthcare receive FDA approval for Coacillium cutaneous solution for the treatment of Moderate and Severe Alopecia Areata in children and adolescents by December 31, 2025?",0,1.0,True
"Will the FDA approve MicuRx Pharmaceuticals' antibiotic contezolid (MRX-I) for the treatment of skin and soft tissue infections by December 31, 2025?",0,1.0,True
"Will 9 Meters Biopharma release Phase 2 trial results for vurolenatide in short bowel syndrome by December 31, 2022?",1,1.0,True
"Will Alnylam Pharmaceuticals' Phase 3 HELIOS-B trial of vutrisiran meet its primary endpoint of reducing cardiovascular mortality and recurrent cardiovascular events by June 30, 2024?",1,1.0,True
"Will AstraZeneca's Phase 3 datopotamab deruxtecan (Dato-DXd) trial for breast cancer meet its primary endpoint of overall survival by December 31, 2024?",0,1.0,True
"Will the Centers for Medicare and Medicaid Services (CMS) finalize its decision to restrict coverage of Biogen's Alzheimer’s drug Aduhelm to only those in clinical trials by December 31, 2022?",1,1.0,True
"Will the FDA authorize Novavax's updated JN.1 protein-based COVID-19 vaccine for emergency use by October 31, 2024?",1,1.0,True
"Will the FDA approve Vertex Pharmaceuticals and CRISPR Therapeutics' exa-cel (exagamglogene autotemcel) for the treatment of sickle cell disease by December 31, 2023?",1,1.0,True
"Will Eli Lilly's Zepbound (tirzepatide) receive FDA approval for the treatment of obstructive sleep apnea in patients with obesity by December 31, 2024?",1,1.0,True
"Will Amylyx Pharmaceuticals officially announce the withdrawal of Relyvrio (AMX0035) from the U.S. market by June 30, 2024, following the results of the Phase 3 PHOENIX trial?",1,1.0,True
"Will Amneal Pharmaceuticals receive FDA approval for its IPX203 (carbidopa/levodopa extended-release capsules) for the treatment of Parkinson disease by August 31, 2024?",1,1.0,True
"Will the FDA approve Eli Lilly's donanemab for the treatment of early symptomatic Alzheimer's disease by July 31, 2024?",1,1.0,True
"Will the FDA grant full approval to Genmab and Seagen's TIVDAK (tisotumab vedotin-tftv) for recurrent or metastatic cervical cancer by June 30, 2024?",1,1.0,True
"Will Pfizer's marstacimab receive FDA approval for the treatment of hemophilia A or B by December 31, 2024?",1,1.0,True
"Will Bristol Myers Squibb receive FDA approval for Opdivo (nivolumab) as an adjuvant treatment for resectable non-small cell lung cancer by December 31, 2024?",1,1.0,True
"Will Vaxxinity initiate a Phase 3 clinical trial for its Alzheimer's vaccine UB-311 by December 31, 2024?",0,0.9,True
"Will 9 Meters Biopharma announce positive topline results for its vurolenatide Phase 2 trial in short bowel syndrome by June 30, 2023?",0,1.0,True
"Will Moderna's Phase 3 trial for its seasonal influenza vaccine candidate, mRNA-1010, meet its primary efficacy endpoints by December 31, 2024?",0,1.0,True
"Will the IDEA-FAST consortium complete its clinical study to identify digital endpoints for fatigue and sleep by June 30, 2025?",1,1.0,True
"Will Samsung Bioepis and Biogen's ranibizumab biosimilar (Byooviz) be launched in the United States by June 30, 2022?",0,1.0,True
"Will the FDA approve Novartis's secukinumab (Cosentyx) for the treatment of moderate-to-severe hidradenitis suppurativa by December 31, 2023?",1,1.0,True
"Will the FDA approve Amylyx's AMX-0035 (also known as Albrioza) for the treatment of amyotrophic lateral sclerosis (ALS) by September 29, 2022?",1,1.0,True
"Will the U.S. Congress reauthorize the Prescription Drug User Fee Act (PDUFA) before its authority expires on September 30, 2022?",1,1.0,True
"Will Roche (Genentech) submit a New Drug Application (NDA) to the FDA for balovaptan in the treatment of autism spectrum disorder by December 31, 2025?",0,1.0,True
"Will Astellas Pharma's Phase 3 GLOW trial of zolbetuximab meet its primary endpoint of progression-free survival (PFS) by December 31, 2023?",1,1.0,True
"Will the European Medicines Agency (EMA) grant marketing authorization for Valneva's chikungunya vaccine VLA1553 (IXCHIQ) by December 31, 2024?",1,1.0,True
"Will Curio Digital Therapeutics receive FDA clearance for MamaLift Plus as a treatment for postpartum depression by December 31, 2025?",1,1.0,True
"Will Novo Nordisk's Phase 3 REDEFINE-1 trial for CagriSema in type 2 diabetes meet its primary endpoint of change in HbA1c by December 31, 2024?",0,1.0,True
"Will the Supreme Court of the United States issue a ruling that restricts the FDA's 2016 and 2021 regulatory changes for mifepristone by June 30, 2024?",0,1.0,True
"Will the FDA approve TauRx Pharmaceuticals' hydromethylthionine mesylate (HMTM) for the treatment of Alzheimer’s disease by December 31, 2024?",0,1.0,True
"Will the FDA approve Mirati Therapeutics' adagrasib for the treatment of KRAS G12C-mutated non-small cell lung cancer by December 31, 2022?",1,1.0,True
"Will Pfizer's BNT162b2 (Comirnaty) receive full FDA approval for a new variant-specific formula by December 31, 2024?",1,1.0,True
"Will Amgen and AstraZeneca initiate a Phase 3 clinical trial for tezepelumab in patients with chronic obstructive pulmonary disease (COPD) by December 31, 2025?",1,1.0,True
"Will the FDA approve Eli Lilly's donanemab for the treatment of early Alzheimer's disease by July 31, 2024?",1,1.0,True
"Will MoonLake Immunotherapeutics' Phase 2 trial of sonelokimab in psoriatic arthritis meet its primary endpoints by December 31, 2023?",1,1.0,True
"Will Karuna Therapeutics' KarXT (xanomeline-trospium) receive FDA approval for the treatment of schizophrenia by September 26, 2024?",1,1.0,True
"Will Spectrum Pharmaceuticals and Hanmi Pharmaceutical release Rolvedon (Rolontis) in the US market by December 31, 2022?",1,1.0,True
"Will the FDA approve Regeneron's bispecific antibody odronextamab for any indication by December 31, 2025?",0,1.0,True
